0xff,#_trap15,int,a1,struct iocs_regs *,inregs,a2,struct iocs_regs *,outregs,,,,,,,,,,,,,IOCS コール実行
0x00,_B_KEYINP,int,,,,,,,,,,,,,,,,,,,キーデータの読み込み
0x01,_B_KEYSNS,int,,,,,,,,,,,,,,,,,,,キーの入力検査
0x02,_B_SFTSNS,int,,,,,,,,,,,,,,,,,,,シフトキー状態の収得
0x03,_KEY_INIT,void,d1,int,led_mode,,,,,,,,,,,,,,,,入力関係の初期化
0x04,_BITSNS,int,d1,int,group,,,,,,,,,,,,,,,,キー状態の収得
0x05,_SKEYSET,void,d1,int,scancode,,,,,,,,,,,,,,,,キー入力の発生
0x06,_LEDCTRL,void,d1,int,state,,,,,,,,,,,,,,,,キーボード LED の設定
0x07,_LEDSET,void,,,,,,,,,,,,,,,,,,,キーボード LED をキー入力モードに合わせる
0x08,_KEYDLY,void,d1,int,delay,,,,,,,,,,,,,,,,キーリピートの開始時間設定
0x09,_KEYREP,void,d1,int,interval,,,,,,,,,,,,,,,,キーリピートの間隔設定
#0x0a,_OPT2TVON,int,,,,,,,,,,,,,,,,,,,OPT.2 によるテレビコントロール許可
#0x0b,_OPT2TVOFF,int,,,,,,,,,,,,,,,,,,,OPT.2 によるテレビコントロール禁止
0x0c,_TVCTRL,void,d1,int,code,,,,,,,,,,,,,,,,テレビコントロール
0x0d,_LEDMOD,void,d1,int,key_no,d2,int,on_off,,,,,,,,,,,,,LED モードの設定
0x0e,_TGUSEMD,int,d1,int,screen,d2,int,mode,,,,,,,,,,,,,画面の使用状態の設定
0x0f,_DEFCHR,int,d1h,int,size,d1l,int,code,a1,const void *,pat,,,,,,,,,,外字定義
0x10,_CRTMOD,int,d1,int,mode,,,,,,,,,,,,,,,,CRT モード設定
0x11,_CONTRAST,int,d1,int,level,,,,,,,,,,,,,,,,コントラスト設定
0x12,_HSVTORGB,%int,d1h,int,h,d1hb,int,s,d1b,int,v,,,,,,,,,,HSV→RGB 変換
0x13,_TPALET,int,d1,int,code,d2,int,color,,,,,,,,,,,,,テキストパレット設定
0x14,_TPALET2,int,d1,int,code,d2,int,color,,,,,,,,,,,,,テキストパレット独立設定
0x15,_TCOLOR,void,d1,int,plane,,,,,,,,,,,,,,,,テキストプレーン指定
0x16,,int,d1,int,size_code,,,,,,,,,,,,,,,,フォントアドレスの収得
0x17,_VRAMGET,void,d1,int,xbytes_1,d2,int,ydots_1,d3,int,stride,a1,void *,buf,a2,void *,vram,,,,テキスト VRAM のバイト単位読み込み
0x18,_VRAMPUT,void,d1,int,xbytes_1,d2,int,ydots_1,d3,int,stride,a1,const void *,buf,a2,void *,vram,,,,テキスト VRAM のバイト単位書き込み
0x19,_FNTGET,int,d1h,int,size,d1l,int,code,a1,struct iocs_fntbuf *,buf,,,,,,,,,,フォント読み込み
0x1a,_TEXTGET,void,d1,int,x,d2,int,y,a1,struct iocs_fntbuf *,buf,,,,,,,,,,テキスト VRAM のドット単位読み込み
0x1b,_TEXTPUT,void,d1,int,x,d2,int,y,a1,const struct iocs_fntbuf *,buf,,,,,,,,,,テキスト VRAM のドット単位書き込み
0x1c,_CLIPPUT,void,d1,int,x,d2,int,y,a1,const struct iocs_fntbuf *,buf,a2,const struct iocs_clipxy *,clip,,,,,,,テキスト VRAM のドット単位書き込み(クリッピング処理あり)
0x1d,_SCROLL,void,d1,int,mode,d2,int,x,d3,int,y,,,,,,,,,,表示座標の設定
0x1e,_B_CURON,void,,,,,,,,,,,,,,,,,,,カーソル点滅の一時停止解除
0x1f,_B_CUROFF,void,,,,,,,,,,,,,,,,,,,カーソル点滅の一時停止
0x20,_B_PUTC,int,d1,int,ch,,,,,,,,,,,,,,,,文字表示
0x21,_B_PRINT,int,a1,const char *,str,,,,,,,,,,,,,,,,文字列表示
0x22,_B_COLOR,int,d1,int,attr,,,,,,,,,,,,,,,,表示色設定
0x23,_B_LOCATE,int,d1,int,col,d2,int,row,,,,,,,,,,,,,カーソル移動
0x24,_B_DOWN_S,void,,,,,,,,,,,,,,,,,,,カーソルを1行下に移動
0x25,_B_UP_S,void,,,,,,,,,,,,,,,,,,,カーソルを1行上に移動
0x26,_B_UP,void,d1,int,count,,,,,,,,,,,,,,,,カーソルを指定行数だけ上に移動
0x27,_B_DOWN,void,d1,int,count,,,,,,,,,,,,,,,,カーソルを指定行数だけ下に移動
